original_link,section,link
https://www.hooktheory.com/theorytab/view/a-perfect-circle/the-doomed,chorus,https://hookpad.hooktheory.com?idOfSong=d_gwjYZQmGV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/the-nurse-who-loved-me,pre-chorus-and-chorus,https://hookpad.hooktheory.com?idOfSong=yvmrBDeVmOW&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/weak-and-powerless,chorus,https://hookpad.hooktheory.com?idOfSong=lamkDZDZgDM&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-r-i-z-o-n-a/pray-to-god,chorus,https://hookpad.hooktheory.com?idOfSong=nZgWNDzQmry&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-r-rahman/jai-ho,chorus,https://hookpad.hooktheory.com?idOfSong=QLgnMjBYm-V&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-r-rahman/roja,chorus,https://hookpad.hooktheory.com?idOfSong=Abm_kLQPmak&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-sunny-day-in-glasgow/the-body-it-bends,verse,https://hookpad.hooktheory.com?idOfSong=LAgQWAXJoyO&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-teens/halfway-around-the-world,verse-and-pre-chorus,https://hookpad.hooktheory.com?idOfSong=WeglqQllxrY&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-teens/halfway-around-the-world,chorus,https://hookpad.hooktheory.com?idOfSong=ZbgOpZj_xnY&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-teens/upside-down,verse-and-pre-chorus,https://hookpad.hooktheory.com?idOfSong=eWxLaYZRoaK&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-teens/upside-down,chorus,https://hookpad.hooktheory.com?idOfSong=nvgyeRz_gkA&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-tribe-called-quest/award-tour,intro,https://hookpad.hooktheory.com?idOfSong=YAg-Rw-Pxle&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-tribe-called-quest/bonita-applebum,chorus,https://hookpad.hooktheory.com?idOfSong=nJmBzlQXmAV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-tribe-called-quest/electric-relaxation,instrumental,https://hookpad.hooktheory.com?idOfSong=yvgPYRDdxYq&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-tribe-called-quest/find-a-way,chorus,https://hookpad.hooktheory.com?idOfSong=nvgyrzZ_xkA&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-tribe-called-quest/word-play,instrumental,https://hookpad.hooktheory.com?idOfSong=WeglryRYorY&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-winged-victory-for-the-sullen/we-played-some-open-chords-and-rejoiced,instrumental,https://hookpad.hooktheory.com?idOfSong=JkmZlPq-xqn&amp;enableYouTube=false&amp;openBandEditorOnInit=true
